# u v x y z
5.000000000000000000e+00 4.599999904632568359e+00 4.063690304756164551e+00 3.663874566555023193e+00 2.072827666997909546e-01
5.000000000000000000e+00 4.800000190734863281e+00 4.031843423843383789e+00 3.831935405731201172e+00 1.036440506577491760e-01
4.800000190734863281e+00 5.000000000000000000e+00 3.831657469272613525e+00 4.031749486923217773e+00 1.032208800315856934e-01
4.599999904632568359e+00 5.000000000000000000e+00 3.663318693637847900e+00 4.063502430915832520e+00 2.064364105463027954e-01
4.400000095367431641e+00 5.000000000000000000e+00 3.494978368282318115e+00 4.095254182815551758e+00 3.096542060375213623e-01
4.199999809265136719e+00 5.000000000000000000e+00 3.326638877391815186e+00 4.127006888389587402e+00 4.128708839416503906e-01
4.000000000000000000e+00 5.000000000000000000e+00 3.158298969268798828e+00 4.158758938312530518e+00 5.160886645317077637e-01
3.799999952316284180e+00 5.000000000000000000e+00 2.989959657192230225e+00 4.190511167049407959e+00 6.193062663078308105e-01
3.599999904632568359e+00 5.000000000000000000e+00 2.821619927883148193e+00 4.222263097763061523e+00 7.225248217582702637e-01
3.400000095367431641e+00 5.000000000000000000e+00 2.653281033039093018e+00 4.254014432430267334e+00 8.257438540458679199e-01
3.200000047683715820e+00 5.000000000000000000e+00 2.484941661357879639e+00 4.285765230655670166e+00 9.289641380310058594e-01
4.857142925262451172e+00 -3.142857074737548828e+00 4.173758745193481445e+00 -2.460816264152526855e+00 1.034474372863769531e+00
4.714285850524902344e+00 -3.285714387893676758e+00 4.030923068523406982e+00 -2.603692948818206787e+00 1.034312009811401367e+00
4.571428775787353516e+00 -3.428571462631225586e+00 3.888086616992950439e+00 -2.746569335460662842e+00 1.034151077270507812e+00
4.428571224212646484e+00 -3.571428537368774414e+00 3.745249927043914795e+00 -2.889445722103118896e+00 1.033990979194641113e+00
4.285714149475097656e+00 -3.714285612106323242e+00 3.602413177490234375e+00 -3.032321989536285400e+00 1.033831715583801270e+00
4.142857074737548828e+00 -3.857142925262451172e+00 3.459576666355133057e+00 -3.175198733806610107e+00 1.033672451972961426e+00
4.000000000000000000e+00 -4.000000000000000000e+00 3.316739976406097412e+00 -3.318075120449066162e+00 1.033514261245727539e+00
3.857142925262451172e+00 -4.142857074737548828e+00 3.173903703689575195e+00 -3.460951805114746094e+00 1.033356308937072754e+00
3.714285612106323242e+00 -4.285714149475097656e+00 3.031066954135894775e+00 -3.603828370571136475e+00 1.033199310302734375e+00
3.571428537368774414e+00 -4.428571224212646484e+00 2.888230800628662109e+00 -3.746705114841461182e+00 1.033042430877685547e+00
3.428571462631225586e+00 -4.571428775787353516e+00 2.745394527912139893e+00 -3.889581799507141113e+00 1.032886385917663574e+00
3.285714387893676758e+00 -4.714285850524902344e+00 2.602557957172393799e+00 -4.032458364963531494e+00 1.032731294631958008e+00
3.142857074737548828e+00 -4.857142925262451172e+00 2.459721565246582031e+00 -4.175333917140960693e+00 1.032577395439147949e+00
3.200000047683715820e+00 -5.000000000000000000e+00 2.485192179679870605e+00 -4.286391317844390869e+00 9.291801452636718750e-01
3.400000095367431641e+00 -5.000000000000000000e+00 2.653503715991973877e+00 -4.254570901393890381e+00 8.259358406066894531e-01
